input_domain,naics_domain,flag_conference,flag_alexa,flag_yahoo,ecid,ind,ind_score,naics_2,naics_2_desc,naics_4,naics_4_desc,naics_6,naics_6_desc,naics_6_score,jj_corrections
bankpeoples.com,bankpeoples.com,null,null,1,1078996077,Financial Services,0.989435554,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.764633119,
vendettaminingcorp.com,vendettaminingcorp.com,null,null,1,1097833357,Mining & Metals,0.996945918,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.764551163,
washreit.com,washreit.com,null,null,1,1084391228,Real Estate,0.957354248,53,Real Estate and Rental and Leasing,5311,Lessors of Real Estate,531110,Lessors of Residential Buildings and Dwellings,0.764431655,
unioncommunityllc.com,unioncommunityllc.com,null,null,1,1074207299,Real Estate,0.96806258,23,Construction,2372,Land Subdivision,237210,Land Subdivision,0.764250457,
cornerstonebank.net,cornerstonebank.net,null,null,1,1082068581,Financial Services,0.987370849,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.764073014,
cveuropeinc.com,cveuropeinc.com,null,null,1,1110964544,Financial Services,0.51196295,52,Finance and Insurance,5239,Other Financial Investment Activities,523910,Miscellaneous Intermediation,0.76382333,
wellcare.com,wellcare.com,null,null,1,1077181526,Insurance,0.967140257,52,Finance and Insurance,5241,Insurance Carriers,524114,Direct Health and Medical Insurance Carriers,0.763463736,
firstfedindiana.com,firstfedindiana.com,null,null,1,1110705862,Financial Services,0.992142201,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.763248503,
televisa.com,televisa.com,null,null,1,1076747321,Media and Entertainment,0.742502511,51,Information,5151,Radio and Television Broadcasting,515120,Television Broadcasting,0.763122499,
bankmutualcorp.com,bankmutualcorp.com,null,null,1,1082057138,Financial Services,0.991182566,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.762762904,
comerica.com,comerica.com,null,null,1,1073976828,Financial Services,0.997495472,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.762639463,
globalhunter.ca,globalhunter.ca,null,null,1,1077017264,Mining & Metals,0.99580127,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212230,"Copper, Nickel, Lead, and Zinc Mining",0.762475252,
mmiholdings.co.za,mmiholdings.co.za,null,null,1,1111078130,Financial Services,0.861911774,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541612,Human Resources Consulting Services,0.762469113,
mozilla.org,mozilla.org,null,1,null,1077237526,Internet,0.479022265,54,"Professional, Scientific, and Technical Services",5415,Computer Systems Design and Related Services,541511,Custom Computer Programming Services,0.762103856,
trueblue.com,trueblue.com,null,null,1,1082134603,Staffing and Recruiting,0.900229931,56,Administrative and Support and Waste Management and Remediation Services,5613,Employment Services,561320,Temporary Help Services,0.761977851,
clearwater.ca,clearwater.ca,null,null,1,1075197592,Food & Beverages,0.658253729,42,Wholesale Trade,4244,Grocery and Related Product Merchant Wholesalers,424460,Fish and Seafood Merchant Wholesalers,0.761913538,
southernarcminerals.com,southernarcminerals.com,null,null,1,1075776732,Mining & Metals,0.99606055,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.761891365,
seznam.cz,seznam.cz,null,1,null,1079121303,Internet,0.583446264,54,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",541810,Advertising Agencies,0.761795044,
phoenixfootwear.com,phoenixfootwear.com,null,null,1,1075421443,Apparel & Fashion,0.686016321,42,Wholesale Trade,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",424340,Footwear Merchant Wholesalers,0.761399806,
scb.co.th,scb.co.th,null,null,1,1075894062,Financial Services,0.995766759,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.761350393,
finning.com,finning.com,null,null,1,1079911222,Machinery,0.927426219,42,Wholesale Trade,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,0.761277735,
commanderresources.com,commanderresources.com,null,null,1,1074839187,Mining & Metals,0.903670907,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.761265397,
marioncenterbank.com,marioncenterbank.com,null,null,1,1080441415,Financial Services,0.990023077,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.76105684,
fnblifetime.com,fnblifetime.com,null,null,1,1081038298,Financial Services,0.989665449,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.760575473,
thefirstbank.com,thefirstbank.com,null,null,1,1074609310,Financial Services,0.973219156,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.760547817,
lonestarresources.com,lonestarresources.com,null,null,1,1074370114,Oil & Energy,0.996089935,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.76048553,
tierreit.com,tierreit.com,null,null,1,1074760807,Real Estate,0.958633065,53,Real Estate and Rental and Leasing,5311,Lessors of Real Estate,531110,Lessors of Residential Buildings and Dwellings,0.760232866,
heritagebank.com,heritagebank.com,null,null,1,1078611638,Financial Services,0.994591773,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.760078669,
tgs.com,tgs.com,null,null,1,1075004700,Oil & Energy,0.996254206,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213112,Support Activities for Oil and Gas Operations,0.76006031,
cnoocltd.com,cnoocltd.com,null,null,1,1079570775,Oil & Energy,0.919087708,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.759955108,
redfin.com,redfin.com,null,1,null,1080415927,Real Estate,0.982688487,53,Real Estate and Rental and Leasing,5312,Offices of Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,0.759881437,
bluerockresidential.com,bluerockresidential.com,null,null,1,1097682734,Real Estate,0.967235804,53,Real Estate and Rental and Leasing,5311,Lessors of Real Estate,531110,Lessors of Residential Buildings and Dwellings,0.759863257,
bumrungrad.com,bumrungrad.com,null,null,1,1078571847,Hospital & Health Care,0.962745547,62,Health Care and Social Assistance,6211,Offices of Physicians,621111,Offices of Physicians (except Mental Health Specialists),0.759760141,
picoholdings.com,picoholdings.com,null,null,1,1075334594,Real Estate,0.429007202,55,Management of Companies and Enterprises,5511,Management of Companies and Enterprises,551112,Offices of Other Holding Companies,0.759596527,
forestargroup.com,forestargroup.com,null,null,1,1077219761,Real Estate,0.879630983,52,Finance and Insurance,5239,Other Financial Investment Activities,523999,Miscellaneous Financial Investment Activities,0.759358704,
themarketingalliance.com,themarketingalliance.com,null,null,1,1075725809,Insurance,0.955464423,52,Finance and Insurance,5241,Insurance Carriers,524113,Direct Life Insurance Carriers,0.759358048,
lcnb.com,lcnb.com,null,null,1,1075331169,Financial Services,0.995950818,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.759344637,
nsehinc.com,nsehinc.com,null,null,1,1085211983,Transportation/Trucking/Railroad,0.819410682,51,Information,5191,Other Information Services,519190,All Other Information Services,0.759267867,
wsj.com,wsj.com,null,1,null,1074276165,Newspapers,0.949620426,51,Information,5111,"Newspaper, Periodical, Book, and Directory Publishers",511110,Newspaper Publishers,0.758974969,
terrainsight.com,terrainsight.com,null,null,1,1077079809,Oil & Energy,0.482110322,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213112,Support Activities for Oil and Gas Operations,0.758889437,
avidbank.com,avidbank.com,null,null,1,1077031541,Financial Services,0.985441685,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.758663595,
jaydenresources.com,jaydenresources.com,null,null,1,1077273688,Mining & Metals,0.989165723,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.758641243,
univest.net,univest.net,null,null,1,1075268286,Financial Services,0.99225688,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.758283496,
uravanminerals.com,uravanminerals.com,null,null,1,1077120431,Mining & Metals,0.990315139,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,0.757890999,
doubleclick.net,doubleclick.net,null,1,null,1074014260,Marketing and Advertising,0.792189956,54,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",541810,Advertising Agencies,0.757860363,
amcon.com,amcon.com,null,null,1,1076197272,Consumer Goods,0.437172711,42,Wholesale Trade,4249,Miscellaneous Nondurable Goods Merchant Wholesalers,424940,Tobacco and Tobacco Product Merchant Wholesalers,0.757684708,
johnmarshallbank.com,johnmarshallbank.com,null,null,1,1076079141,Financial Services,0.985394955,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.757677078,
envestnet.com,envestnet.com,null,null,1,1076368463,Financial Services,0.791828632,52,Finance and Insurance,5239,Other Financial Investment Activities,523930,Investment Advice,0.757647693,
gainsco.com,gainsco.com,null,null,1,1075332016,Insurance,0.944960713,52,Finance and Insurance,5241,Insurance Carriers,524126,Direct Property and Casualty Insurance Carriers,0.757630348,
kroton.com.br,kroton.com.br,null,null,1,1080177092,Education,0.940151513,61,Educational Services,6111,Elementary and Secondary Schools,611110,Elementary and Secondary Schools,0.757592559,
greatwesternbank.com,greatwesternbank.com,null,null,1,1076478269,Financial Services,0.99629128,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.75750643,
ledyardbank.com,ledyardbank.com,null,null,1,1077592189,Financial Services,0.995077074,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.757496357,
libertysilvercorp.com,libertysilvercorp.com,null,null,1,1076561188,Mining & Metals,0.996536017,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.757356644,
solaredge.com,solaredge.com,null,null,1,1073996700,Environmental Services,0.939546466,23,Construction,2371,Utility System Construction,237130,Power and Communication Line and Related Structures Construction,0.756988466,
woodstockholdingsinc.com,woodstockholdingsinc.com,null,null,1,1097705115,Financial Services,0.946142256,52,Finance and Insurance,5231,Securities and Commodity Contracts Intermediation and Brokerage,523120,Securities Brokerage,0.756913006,
firstminingfinance.com,firstminingfinance.com,null,null,1,1097676026,Mining & Metals,0.975518882,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.756847382,
vantexressources.com,vantexressources.com,null,null,1,1075129364,Computer Software,0.583273888,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.756552458,
alxuranium.com,alxuranium.com,null,null,1,1099707006,Mining & Metals,0.965316355,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,0.756388187,
pricelinegroup.com,pricelinegroup.com,null,null,1,1082111416,"Leisure, Travel & Tourism",0.810526907,56,Administrative and Support and Waste Management and Remediation Services,5615,Travel Arrangement and Reservation Services,561510,Travel Agencies,0.756255329,
ctbconnect.com,ctbconnect.com,null,null,1,1075948735,Financial Services,0.997086108,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.755805731,
carolinapremierbank.com,carolinapremierbank.com,null,null,1,1077533901,Financial Services,0.985859931,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.755739868,
middlefieldbank.com,middlefieldbank.com,null,null,1,1074460817,Financial Services,0.993496299,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.755691707,
oasispetroleum.com,oasispetroleum.com,null,null,1,1074590144,Oil & Energy,0.973306656,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.75547421,
suptech.com,suptech.com,null,null,1,1077007704,Electrical/Electronic Manufacturing,0.494957894,54,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",0.755465686,
nordea.com,nordea.com,null,null,1,1073829596,Financial Services,0.997475088,52,Finance and Insurance,5259,Other Investment Pools and Funds,525910,Open-End Investment Funds,0.755328059,
amplifysnackbrands.com,amplifysnackbrands.com,null,null,1,1097743574,Consumer Goods,0.563751876,42,Wholesale Trade,4244,Grocery and Related Product Merchant Wholesalers,424450,Confectionery Merchant Wholesalers,0.755052686,
mineraalamos.com,mineraalamos.com,null,null,1,1075842707,Mining & Metals,0.987838745,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.755024314,
anacondamining.com,anacondamining.com,null,null,1,1082053913,Mining & Metals,0.999187172,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.754907072,
peoplescommunitybank.biz,peoplescommunitybank.biz,null,null,1,1080194127,Financial Services,0.984431565,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.754813314,
goldquestcorp.com,goldquestcorp.com,null,null,1,1075716948,Mining & Metals,0.999060333,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.754725039,
sussexbank.com,sussexbank.com,null,null,1,1073863747,Financial Services,0.969337642,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.754724681,
epsilonenergyltd.com,epsilonenergyltd.com,null,null,1,1074737679,Oil & Energy,0.979074419,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.754464507,
usatoday.com,usatoday.com,null,1,null,1073947046,Newspapers,0.980402231,51,Information,5111,"Newspaper, Periodical, Book, and Directory Publishers",511110,Newspaper Publishers,0.754461885,
royalmailgroup.com,royalmailgroup.com,null,null,1,1078892161,Logistics and Supply Chain,0.940290272,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541614,"Process, Physical Distribution, and Logistics Consulting Services",0.754422188,
genpt.com,genpt.com,null,null,1,1075275880,Automotive,0.488332003,42,Wholesale Trade,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,0.754342675,
azargametals.com,azargametals.com,null,null,1,null,Mining & Metals,0.985760629,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213114,Support Activities for Metal Mining,0.753894329,
elmirasavingsbank.com,elmirasavingsbank.com,null,null,1,1076590292,Financial Services,0.996593416,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.753881872,
guoco.com,guoco.com,null,null,1,1079979604,Financial Services,0.687673867,92,Public Administration,9211,"Executive, Legislative, and Other General Government Support",921110,Executive Offices,0.753585339,
globalinkworld.com,globalinkworld.com,null,null,1,1106228069,"Leisure, Travel & Tourism",0.791119754,56,Administrative and Support and Waste Management and Remediation Services,5615,Travel Arrangement and Reservation Services,561510,Travel Agencies,0.753512621,
1stconstitution.com,1stconstitution.com,null,null,1,1075210308,Financial Services,0.995102286,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.753209412,
vimeo.com,vimeo.com,null,1,null,1075330395,Internet,0.819385469,51,Information,5121,Motion Picture and Video Industries,512110,Motion Picture and Video Production,0.753062487,
fortunasilver.com,fortunasilver.com,null,null,1,1076459716,Mining & Metals,0.99833703,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.752916098,
euronetworldwide.com,euronetworldwide.com,null,null,1,1074320602,Financial Services,0.805199027,52,Finance and Insurance,5223,Activities Related to Credit Intermediation,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",0.752874613,
thedailybeast.com,thedailybeast.com,null,1,null,1074442555,Newspapers,0.775262713,51,Information,5111,"Newspaper, Periodical, Book, and Directory Publishers",511110,Newspaper Publishers,0.752471924,
sierragoldcorp.com,sierragoldcorp.com,null,null,1,1074898444,Mining & Metals,0.975956082,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.752423585,
homefedniles.com,homefedniles.com,null,null,1,1087390747,Consumer Services,0.999082804,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.752233565,
virtus.com,virtus.com,null,null,1,1073832714,Financial Services,0.994949222,52,Finance and Insurance,5259,Other Investment Pools and Funds,525910,Open-End Investment Funds,0.751963794,
newguineagold.ca,newguineagold.ca,null,null,1,1077296286,Mining & Metals,0.992499411,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.75188446,
cannagrowholdings.com,cannagrowholdings.com,null,null,1,1097777228,Alternative Medicine,0.397924841,55,Management of Companies and Enterprises,5511,Management of Companies and Enterprises,551112,Offices of Other Holding Companies,0.751879454,
cnbankpa.com,cnbankpa.com,null,null,1,1075871177,Financial Services,0.99614656,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.75186646,
impactsilver.com,impactsilver.com,null,null,1,1077059751,Mining & Metals,0.997722209,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.751791358,
unitedrentals.com,unitedrentals.com,null,null,1,1076355010,Construction,0.779170454,53,Real Estate and Rental and Leasing,5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",0.751755416,
spindletopoil.com,spindletopoil.com,null,null,1,1074540258,Oil & Energy,0.961769462,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.751693428,
ffin.com,ffin.com,null,null,1,1077513794,Financial Services,0.997685909,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.751672089,
gabelli.com,gabelli.com,null,null,1,1076841978,Financial Services,0.990159452,52,Finance and Insurance,5259,Other Investment Pools and Funds,525910,Open-End Investment Funds,0.75134182,
wsfsbank.com,wsfsbank.com,null,null,1,1076406134,Financial Services,0.997728288,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.751331151,
kantone.com,kantone.com,null,null,1,1078665094,Financial Services,0.628637672,55,Management of Companies and Enterprises,5511,Management of Companies and Enterprises,551112,Offices of Other Holding Companies,0.75078857,
bmtc.com,bmtc.com,null,null,1,1080469300,Financial Services,0.976143479,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.750772536,
npbankshares.com,npbankshares.com,null,null,1,1078661976,Financial Services,0.990855336,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.750265837,
fnbsm.com,fnbsm.com,null,null,1,1074701076,Financial Services,0.995727778,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.750133753,
cobaltintl.com,cobaltintl.com,null,null,1,1074624092,Oil & Energy,0.995661676,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213112,Support Activities for Oil and Gas Operations,0.750107169,
crosscountryhealthcare.com,crosscountryhealthcare.com,null,null,1,1075302261,Staffing and Recruiting,0.810703814,56,Administrative and Support and Waste Management and Remediation Services,5613,Employment Services,561320,Temporary Help Services,0.749922276,
miteksystems.com,miteksystems.com,null,null,1,1073867958,Computer Software,0.681079686,51,Information,5112,Software Publishers,511210,Software Publishers,0.749832094,
internationalranger.com,internationalranger.com,null,null,1,1076044062,Mining & Metals,0.988099396,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,0.749677241,
willdan.com,willdan.com,null,null,1,1074414927,Civil Engineering,0.992530763,54,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",541330,Engineering Services,0.749626875,
sagcmining.com,sagcmining.com,null,null,1,1077355339,Mining & Metals,0.873134732,42,Wholesale Trade,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,423520,Coal and Other Mineral and Ore Merchant Wholesalers,0.749256134,
shorecommunitybank.com,shorecommunitybank.com,null,null,1,1077374013,Financial Services,0.995399296,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.749221563,
wellgreenplatinum.com,wellgreenplatinum.com,null,null,1,1076982421,Mining & Metals,0.996892929,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.749169171,
northerndynastyminerals.com,northerndynastyminerals.com,null,null,1,1085270514,Mining & Metals,0.999025345,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212230,"Copper, Nickel, Lead, and Zinc Mining",0.748582006,
cunb.com,cunb.com,null,null,1,1082069353,Financial Services,0.994357526,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.748454988,
rainbowbiosciences.com,rainbowbiosciences.com,null,null,1,1075032963,Biotechnology,0.966170371,11,"Agriculture, Forestry, Fishing and Hunting",1125,Aquaculture,112511,Finfish Farming and Fish Hatcheries,0.748400509,
passportpotash.com,passportpotash.com,null,null,1,1077491863,Mining & Metals,0.96269989,21,"Mining, Quarrying, and Oil and Gas Extraction",2131,Support Activities for Mining,213114,Support Activities for Metal Mining,0.748382807,
carrizo.com,carrizo.com,null,null,1,1097886027,Oil & Energy,0.9870525,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.74816221,
barrettbusiness.com,barrettbusiness.com,null,null,1,1076851551,Staffing and Recruiting,0.500204384,56,Administrative and Support and Waste Management and Remediation Services,5613,Employment Services,561330,Professional Employer Organizations,0.747640491,
northwest.com,northwest.com,null,null,1,1080503373,Financial Services,0.991850317,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.747588098,
chesapeakegold.com,chesapeakegold.com,null,null,1,1074973642,Mining & Metals,0.99753499,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.747581124,
xvideos.com,xvideos.com,null,1,null,1087050366,Information Technology and Services,0.739608824,53,Real Estate and Rental and Leasing,5322,Consumer Goods Rental,532282,Video Tape and Disc Rental,0.747456193,
energyres.com.au,energyres.com.au,null,null,1,1078536965,Mining & Metals,0.994466841,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,0.747212827,
aquaamerica.com,aquaamerica.com,null,null,1,1076873390,Utilities,0.997658491,22,Utilities,2213,"Water, Sewage and Other Systems",221310,Water Supply and Irrigation Systems,0.74713093,
fm-bank.com,fm-bank.com,null,null,1,1076023492,Financial Services,0.992618978,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.747118473,
flex.com,flex.com,null,null,1,1074978782,Accounting,0.297706515,42,Wholesale Trade,4241,Paper and Paper Product Merchant Wholesalers,424130,Industrial and Personal Service Paper Merchant Wholesalers,0.747061193,
nebook.com,nebook.com,null,null,1,1076163275,Retail,0.598731041,42,Wholesale Trade,4249,Miscellaneous Nondurable Goods Merchant Wholesalers,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",0.746901691,
nextplc.co.uk,nextplc.co.uk,null,null,1,1083009289,Environmental Services,0.246174559,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541614,"Process, Physical Distribution, and Logistics Consulting Services",0.746890068,
ffcb.com,ffcb.com,null,null,1,1074804931,Financial Services,0.97707957,52,Finance and Insurance,5221,Depository Credit Intermediation,522120,Savings Institutions,0.746853471,
rushydro.ru,rushydro.ru,null,null,1,1080265233,Utilities,0.960154176,54,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",541330,Engineering Services,0.74638164,
emclairefinancial.com,emclairefinancial.com,null,null,1,1082074456,Financial Services,0.88688153,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.746335328,
eclipseresources.com,eclipseresources.com,null,null,1,1074406745,Oil & Energy,0.991807282,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.746187568,
amadeus.com,amadeus.com,null,null,1,1075362841,"Leisure, Travel & Tourism",0.723885596,56,Administrative and Support and Waste Management and Remediation Services,5615,Travel Arrangement and Reservation Services,561510,Travel Agencies,0.746165216,
crc.com,crc.com,null,null,1,1082748212,Oil & Energy,0.988807082,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.745965719,
nationwide.com,nationwide.com,1,null,null,1076594518,Insurance,0.981900871,52,Finance and Insurance,5241,Insurance Carriers,524126,Direct Property and Casualty Insurance Carriers,0.745896339,524126
cbsnews.com,cbsnews.com,null,1,null,1077425273,Media and Entertainment,0.7437765,51,Information,5151,Radio and Television Broadcasting,515120,Television Broadcasting,0.745634496,
abraxaspetroleum.com,abraxaspetroleum.com,null,null,1,1074632302,Oil & Energy,0.947232842,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.74562639,
kellyservices.com,kellyservices.com,null,null,1,1078539189,Staffing and Recruiting,0.966028929,56,Administrative and Support and Waste Management and Remediation Services,5613,Employment Services,561320,Temporary Help Services,0.745579422,
wbmd.com,wbmd.com,null,null,1,1074900298,"Health, Wellness and Fitness",0.427897632,51,Information,5191,Other Information Services,519190,All Other Information Services,0.745488167,
mauchchunktrust.com,mauchchunktrust.com,null,null,1,1076291208,Financial Services,0.995492935,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.745204091,
strayereducation.com,strayereducation.com,null,null,1,1074569061,Education,0.983469665,61,Educational Services,6113,"Colleges, Universities, and Professional Schools",611310,"Colleges, Universities, and Professional Schools",0.745195389,
amecfw.com,amecfw.com,null,null,1,1085072787,Environmental Services,0.448050559,54,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",541330,Engineering Services,0.745072961,
globo.com,globo.com,null,1,null,1080063418,Publishing,0.432029367,51,Information,5151,Radio and Television Broadcasting,515120,Television Broadcasting,0.745045245,
blackhawkbank.com,blackhawkbank.com,null,null,1,1073825118,Financial Services,0.997727096,52,Finance and Insurance,5221,Depository Credit Intermediation,522110,Commercial Banking,0.744980276,
rockshield.ca,rockshield.ca,null,null,1,1074224003,Financial Services,0.971056581,52,Finance and Insurance,5239,Other Financial Investment Activities,523910,Miscellaneous Intermediation,0.744940519,
maximpowercorp.com,maximpowercorp.com,null,null,1,1075175717,Oil & Energy,0.882550657,22,Utilities,2211,"Electric Power Generation, Transmission and Distribution",221118,Other Electric Power Generation,0.744935334,
nyhc.com,nyhc.com,null,null,1,1075420088,Hospital & Health Care,0.908805072,62,Health Care and Social Assistance,6216,Home Health Care Services,621610,Home Health Care Services,0.744749963,
goldenphoenix.us,goldenphoenix.us,null,null,1,1083304517,Mining & Metals,0.997612953,21,"Mining, Quarrying, and Oil and Gas Extraction",2122,Metal Ore Mining,212221,Gold Ore Mining,0.744607449,
gulfkeystone.com,gulfkeystone.com,null,null,1,1077876455,Oil & Energy,0.989507616,21,"Mining, Quarrying, and Oil and Gas Extraction",2111,Oil and Gas Extraction,211120,Crude Petroleum Extraction,0.744283497,
